EXERCISE,PICTURE,VIDEO,TYPE
"Barbell Bench Press","http://cdn2.coachmag.co.uk/sites/coachmag/files/2017/05/bench-press_0.jpg","https://www.youtube.com/embed/vthMCtgVtFw","P"
"Barbell Incline Bench Press","https://cdn-ami-drupal.heartyhosting.com/sites/muscleandfitness.com/files/incline-bench-press-upper-body-main.jpg","https://www.youtube.com/embed/SrqOu55lrYU","P"
"Dumbbell Bench Press","https://weighttraining.guide/wp-content/uploads/2016/05/Dumbbell-Bench-Press.png","https://www.youtube.com/embed/SHsUIZiNdeY","P"
"Incline Dumbbell Bench Press","https://cdn.muscleandstrength.com/sites/default/files/incline-dumbbell-bench-press.jpg","https://www.youtube.com/embed/8iPEnn-ltC8","P"
"Cable Flyes","http://www.workoutbox.net/wp-content/uploads/2018/05/Cable-flyes-man.jpg","https://www.youtube.com/embed/Iwe6AmxVf7o","S"
"Dumbbell Flyes","https://www.gymguider.com/wp-content/uploads/2017/10/bench-dumbbell-flyes.jpg","https://www.youtube.com/embed/eozdVDA78K0","S"
"Incline Dumbbell Flyes","http://www.gymworkoutchart.com/wp-content/uploads/2017/05/incline-dumbbell-flyes-exercise.jpg","https://www.youtube.com/embed/bDaIL_zKbGs","S"
"Incline Cable Flyes","https://cdn-ami-drupal.heartyhosting.com/sites/muscleandfitness.com/files/styles/full_node_image_1090x614/public/media/Incline-Cable-Flye_0.jpg?itok=f18dElDe&timestamp=1425583913","https://www.youtube.com/embed/GtHNC-5GtR0","S"
"Pullovers","https://chestsculpting.com/images/Arnold%20Dumbbell%20Pullovers.jpg","https://www.youtube.com/embed/Ydpy886udzo","A"
"Pec Deck Machine","https://i5.walmartimages.com/asr/9385c802-8bc2-45ae-8547-8661b1b3b719_1.80779413fe0ab98ffdfa631d30401fe5.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF","https://www.youtube.com/embed/65S22nrDr0U","A"
"Single Arm Dumbbell Press","https://i.ytimg.com/vi/2O_J-aKIbec/maxresdefault.jpg","https://www.youtube.com/embed/td-4lC0tXKA","A"
